Parasitized,2,16256,0,0,0
Parasitized,1.5,1,0,48.5,0.5
Parasitized,508,11644,0,0,0
Parasitized,143,12297.5,0,0,0
Parasitized,225.5,15360.5,0,0,0
Parasitized,184.5,10297,0,0,0
Parasitized,98,8.5,13866,0,0
Parasitized,398.5,14069,0,0,0
Parasitized,152.5,11744,0,0,0
Parasitized,133.5,13391,0,0,0
Parasitized,1148.5,173.5,318.5,1275,1102.5
Parasitized,176,10926,0,0,0
Parasitized,77.5,35.5,13.5,132,2
Parasitized,80,163.5,9806.5,0,0
Parasitized,123,11718,0,0,0
Parasitized,52.5,23.5,10409,0,0
Parasitized,217,0,49,62,0
Parasitized,12250.5,0,0,0,0
Parasitized,161,43,9531,0,0
Parasitized,9958.5,0,0,0,0
Parasitized,113,11858.5,0,0,0
Parasitized,500,9490.5,0,0,0
Parasitized,866,12839,0,0,0
Parasitized,162,13843,0,0,0
Parasitized,8.5,136,19091,0,0
Parasitized,139.5,15859,0,0,0
Parasitized,177.5,46,10445.5,0,0
Parasitized,23,146,14346,0,0
Parasitized,142,15765.5,0,0,0
Parasitized,11252.5,0,0,0,0
Parasitized,62,12628.5,0,0,0
Parasitized,10619.5,0,0,0,0
Parasitized,273,10612,0,0,0
Parasitized,42.5,45,11480.5,0,0
Parasitized,630,9318,0,0,0
Parasitized,35.5,189,377,9640.5,0
Parasitized,107.5,10751.5,0,0,0
Parasitized,145.5,13306.5,0,0,0
Parasitized,155,14084.5,0,0,0
Parasitized,22,25.5,382,27.5,10555.5
Parasitized,99,72.5,16033,0,0
Parasitized,28.5,0,9695.5,0,0
Parasitized,189.5,13439.5,0,0,0
Parasitized,49.5,319.5,11895,0,0
Parasitized,97.5,7,15,119,199.5
Parasitized,145,12598.5,0,0,0
Parasitized,12052,0,0,0,0
Parasitized,2,197.5,15167.5,0,0
Parasitized,441.5,4887.5,10228.5,0,0
Parasitized,126,15994,0,0,0
Parasitized,190,12.5,9955.5,0,0
Parasitized,55,189,10191,0,0
Parasitized,135.5,14175.5,0,0,0
Parasitized,130,12.5,184.5,10031.5,0
Parasitized,76,43.5,57.5,15234.5,0
Parasitized,186,208,9054,0,0
Parasitized,82.5,22.5,15.5,92.5,11300
Parasitized,129,82.5,17241,0,0
Parasitized,7698,0,0,0,0
Parasitized,121,15501,0,0,0
Parasitized,40.5,184,14563,0,0
Parasitized,330,7,8280.5,0,0
Parasitized,101.5,14503.5,0,0,0
Parasitized,8123,0,0,0,0
Parasitized,8.5,292,10632,0,0
Parasitized,121.5,11212.5,0,0,0
Parasitized,64.5,220.5,9258.5,0,0
Parasitized,46,58,14301,0,0
Parasitized,114.5,14842,0,0,0
Parasitized,123,20.5,37.5,5,2773.5
Parasitized,261,11984.5,0,0,0
Parasitized,31,200,11465.5,0,0
Parasitized,85.5,2087.5,0,0,0
Parasitized,236.5,94.5,5.5,126.5,43.5
Parasitized,106,8957,0,0,0
Parasitized,126.5,61,16089.5,0,0
Parasitized,11468,0,0,0,0
Parasitized,27.5,79,8593,0,0
Parasitized,11431,0,0,0,0
Parasitized,108.5,12486.5,0,0,0
Parasitized,19217,0,0,0,0
Parasitized,182.5,14,14503.5,0,0
Parasitized,70,144,15899.5,0,0
Parasitized,251.5,9644.5,0,0,0
Parasitized,73.5,101.5,0,140,17.5
Parasitized,24,93.5,47.5,0,0
Parasitized,141,15097,0,0,0
Parasitized,1.5,1.5,0.5,11.5,4.5
Parasitized,115,13133,0,0,0
Parasitized,279.5,10006.5,0,0,0
Parasitized,179.5,10750,0,0,0
Parasitized,70.5,83.5,14080.5,0,0
Parasitized,157,12825.5,0,0,0
Parasitized,196.5,8.5,60.5,13.5,10
Parasitized,117,6,66,10280,0
Parasitized,176,9544.5,0,0,0
Parasitized,136,11620,0,0,0
Parasitized,168,161,24,13425.5,0
Parasitized,32,75,408,50,10219.5
Parasitized,134,15168,0,0,0
Parasitized,89.5,13788,0,0,0
Parasitized,7143,0,0,0,0
Parasitized,93.5,17043.5,0,0,0
Parasitized,160.5,105.5,2,14535.5,0
Parasitized,50,95.5,14312.5,0,0
Parasitized,90.5,4,48,42.5,443.5
Parasitized,25.5,31,2,10865.5,0
Parasitized,339,13603.5,0,0,0
Parasitized,464,6961,9153,0,0
Parasitized,4,16.5,13778,0,0
Parasitized,218,28.5,14318.5,0,0
Parasitized,50,12904.5,0,0,0
Parasitized,20,8.5,144.5,11,86
Parasitized,181,8943.5,0,0,0
Parasitized,70.5,16629,0,0,0
Parasitized,129.5,13789.5,0,0,0
Parasitized,347,7,16.5,13038.5,0
Parasitized,14440,0,0,0,0
Parasitized,85.5,14379.5,0,0,0
Parasitized,225,14264,0,0,0
Parasitized,0,2.5,19.5,5.5,1144.5
Parasitized,191.5,11904,0,0,0
Parasitized,115,128.5,14717.5,0,0
Parasitized,229.5,12426,0,0,0
Parasitized,171.5,13392.5,0,0,0
Parasitized,148.5,13563,0,0,0
Parasitized,37,166.5,7960.5,0,0
Parasitized,145,11958,0,0,0
Parasitized,138.5,397.5,14609,0,0
Parasitized,148,76.5,14716,0,0
Parasitized,373.5,13335.5,0,0,0
Parasitized,308,10804,0,0,0
Parasitized,8917.5,0,0,0,0
Parasitized,34,139,11906.5,0,0
Parasitized,178,171.5,368,22.5,4726.5
Parasitized,113.5,21271,0,0,0
Parasitized,116.5,80,16852,0,0
